Name,Color,Price
SanDisk Ultra Dual SDDD3-128G-G46/SDDD3-128G-i35 128 GB...,"Black, Type A to Micro USB","₹1,479"
SanDisk SDCZ73-128G-I35 128 Pen Drive,"Silver, Black","₹1,699"
Sony USM32GR/W// USM32GR/W2// USM32GR/WZ 32 GB Pen Driv...,White,₹449
HP X740W Metal USB 3.0/3.1 Flash Drive 32 GB Pen Drive,Silver,₹458
SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Driv...,"Black, Red",₹679
SanDisk Ultra Dual Drive M3.0 32 GB OTG Drive,"Black, Type A to Micro USB",₹549
SanDisk Ultra Dual SDDD3-064G-I35 64 GB OTG Drive,"Black, Type A to Micro USB",₹859
SanDisk SDDD3-032G-I35GW 32 GB OTG Drive,"Gold, Type A to Micro USB",₹549
Sandisk Cruzer Blade 16 GB Utility Pendrive,"Black, Red",₹329
Sandisk Cruzer Blade 32 GB,"Black, Red",₹419
"Kingston DTIG4 USB 3.0, 32 GB Pen Drive",White & Red,₹409
SanDisk Cruzer Blade USB Flash Drive CZ50 16 GB Pen Dri...,Multicolor,₹344
SanDisk Cruzer Blade USB Flash Drive 2.0 32 GB Pen Driv...,"Black, Red",₹440
SanDisk SDCZ73-256G-I35 256 Pen Drive,"Silver, Black","₹3,209"
SanDisk Cruzr Blade 16 GB Pen Drive,Red,₹435
SanDisk Ultra flair 3.0 USB Flash Drive speed up to 150...,Black,₹969
SanDisk SDDD3-064G-I35GW 64 GB OTG Drive,"Gold, Type A to Micro USB",₹859
SanDisk Ultra Dual SDDD3-016G-I35 16 GB OTG Drive,"Black, Type A to Micro USB",₹479
Kingston USB 3.0 Data Traveler 50- 32 GB Pen Drive,Grey,₹485
SanDisk Ultra Dual drive Otg 3.0 Pack Of 2 64 GB Pen Dr...,Multicolor,"₹1,999"
HP V236w 16 GB Pen Drive,Silver,₹399
SanDisk Cruzer Blade USB Flash Drive (BLACK & RED) - 3p...,Black,₹994
HP MM-OTG032GB-02P 32 GB Pen Drive,"Silver, Blue",₹527
SanDisk BLADE 64 GB Pen Drive,"Red, Black","₹2,450"
HP V301W 16 GB Pen Drive,Grey,₹399
SanDisk Cruzer Blade 32 GB Pen Drive set of 2 (Red) 32 ...,Red,₹795
Strontium sr16grdpollex 16 GB Pen Drive,Black,₹329
SanDisk SDCZ73 64 GB Pen Drive,Silver,₹978
Kingston DTSWIVL/32GBIN 32 GB Pen Drive,Black,₹429
SanDisk Cruzr Blade 64 GB Pen Drive (Red) 64 GB Pen Dri...,"Black, Red","₹1,999"
Sony USM64GR/B2/USM64GR/B3 IN 31302149 64 GB Pen Drive,Black,₹995
HP Type 'C' OTG 3.1 Metal USB Dual Drive X304m 32 GB OT...,"Silver, Black, Type A to Type C",₹961
SanDisk Ultra Dual Otg 3.0 128 GB Pen Drive,Silver,"₹1,725"
SanDisk Cruzr Blade 64 GB Pen Drive (Red) 64 GB Pen Dri...,"Black, Red","₹5,999"
SanDisk Ultra Dual Drive 3.0 OTG 64 GB Pen Drive,Black,₹960
SanDisk Ultra Dual Drive M3.0 32 GB OTG Drive 32 GB OTG...,"Black, Type A to Micro USB",₹620
HP V236w 32 GB Pen Drive,Silver,₹399
SanDisk Cruzr Blade 128 GB Pen Drive,"Red, Black","₹1,399"
SanDisk Dual Drive TYpe C 64 GB OTG Drive,"Silver, Grey, Type A to Type C","₹1,158"
SanDisk SDCZ50-064G-I35 64 GB Pen Drive,"Red, Black","₹1,849"
